gene,edge,net
K00509,2535,ko01100
K05309,2536,ko01100
K00460,2537,ko01100
K07413,2538,ko01100
K07418,2539,ko01100
K07413,2540,ko01100
K07418,2541,ko01100
K01832,2542,ko01100
K15717,2543,ko01100
K00079,2544,ko01100
"NA",2545,ko01100
"NA",2546,ko01100
K01831,2547,ko01100
"NA",2548,ko01100
"NA",2549,ko01100
K01830,2550,ko01100
"NA",2551,ko01100
"NA",2552,ko01100
"NA",2553,ko01100
"NA",2554,ko01100
"NA",2555,ko01100
K01047,2556,ko01100
K00508,2559,ko01100
K00454,2961,ko01100
K07409,2960,ko01100
K07409,2560,ko01100
K01047,2474,ko01100
K01047,2473,ko01100
K00454,2561,ko01100
K01723,2562,ko01100
K10525,2563,ko01100
K05894,2564,ko01100
K10526,2565,ko01100
K00232,2566,ko01100
K00632,2568,ko01100
K00232,2569,ko01100
K00632,4310,ko01100
K00232,4311,ko01100
K00632,2572,ko01100
"NA",2573,ko01100
K01823,2593,ko01100
K00787,2594,ko01100
K00787,2613,ko01100
K00804,2002,ko01100
K00902,2656,ko01100
K03845,3170,ko01100
K00729,1502,ko01100
K03846,3172,ko01100
K03847,3173,ko01100
K03846,3174,ko01100
K03848,2657,ko01100
K03849,2659,ko01100
K03850,6261,ko01100
K07151,2660,ko01100
K01228,2662,ko01100
K05546,2663,ko01100
K23741,2664,ko01100
K00726,1506,ko01100
K01231,2665,ko01100
K00736,1507,ko01100
K00737,1508,ko01100
K00738,1504,ko01100
K00744,1505,ko01100
K13748,2666,ko01100
K00717,2667,ko01100
K07966,2668,ko01100
K00778,2669,ko01100
K00710,2676,ko01100
K03479,1599,ko01100
K00731,5111,ko01100
K00727,5112,ko01100
K00780,2678,ko01100
K03479,2679,ko01100
K00739,5102,ko01100
K09662,5103,ko01100
K00727,5113,ko01100
K00771,1836,ko01100
K00733,5114,ko01100
K00734,5115,ko01100
K10158,5116,ko01100
K00746,5117,ko01100
K13499,2683,ko01100
K13499,5120,ko01100
K02369,4277,ko01100
K02366,4278,ko01100
K02368,4279,ko01100
K00677,1930,ko01100
K02535,2686,ko01100
K02536,2687,ko01100
K03269,2688,ko01100
K00912,2689,ko01100
K02527,2690,ko01100
K00979,3912,ko01100
K03270,3913,ko01100
K01627,3914,ko01100
K02517,2692,ko01100
K02560,2693,ko01100
K03274,2696,ko01100
K03272,2697,ko01100
K03273,2698,ko01100
K03272,2699,ko01100
K03271,1168,ko01100
K00748,5118,ko01100
K02527,2700,ko01100
K01924,2702,ko01100
K01925,2703,ko01100
K05362,2704,ko01100
K01929,2705,ko01100
K01000,2706,ko01100
K02563,2707,ko01100
K23393,2708,ko01100
K11693,2709,ko01100
K03857,2711,ko01100
K03434,5055,ko01100
K05283,5056,ko01100
K05284,5057,ko01100
K07542,5058,ko01100
K05285,5059,ko01100
K05286,5065,ko01100
K05287,5066,ko01100
K00720,2712,ko01100
K03766,2713,ko01100
K07819,2721,ko01100
K00718,5154,ko01100
K00716,5155,ko01100
K00716,5156,ko01100
K00781,5157,ko01100
K00716,5148,ko01100
K00709,5158,ko01100
K00716,5159,ko01100
K00709,5160,ko01100
K00716,5161,ko01100
K07553,2714,ko01100
K07966,2715,ko01100
K00718,2716,ko01100
K00716,1492,ko01100
K03792,2717,ko01100
K00716,5149,ko01100
K00716,1493,ko01100
K00741,1494,ko01100
K07966,2718,ko01100
K00742,1495,ko01100
"NA",2719,ko01100
K00709,5146,ko01100
"NA",5174,ko01100
K00718,5150,ko01100
K00709,2720,ko01100
K00709,2722,ko01100
